,State,Type,Population,Percentage
0,MD,Actual,2448459,40.30
1,VA,Actual,2945980,48.49
2,DC,Actual,681170,11.21
3,MD,Meetup,3689,14.81
4,VA,Meetup,5446,21.87
5,DC,Meetup,12754,51.22
